X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.38768667,48.16815833,0,0,150,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38767333,48.16809167,0,0,151,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38766167,48.16802667,0,0,152,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38765,48.16795833,0,0,153,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38764167,48.167895,0,0,154,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38764,48.16783333,0,0,155,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38763667,48.16776833,0,0,156,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387635,48.16770333,0,0,157,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38764167,48.167645,0,0,158,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38764333,48.16758167,0,0,159,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387645,48.16751667,0,0,160,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38765167,48.16745,0,0,161,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38766167,48.16738333,0,0,162,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38767333,48.16731667,0,0,163,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38769,48.16725167,0,0,164,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387705,48.16718667,0,0,165,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38771833,48.16712167,0,0,166,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38772833,48.167055,0,0,167,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38773833,48.16699167,0,0,168,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38774667,48.16692667,0,0,169,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38775833,48.16686167,0,0,170,403,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38777,48.166795,0,0,171,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38778,48.16673,0,0,172,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38778833,48.16666333,0,0,173,402,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38779667,48.16659833,0,0,174,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38780667,48.16653333,0,0,175,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38781333,48.16646667,0,0,176,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387825,48.16640167,0,0,177,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.387845,48.16634,0,0,178,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38785667,48.166275,0,0,179,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38786667,48.16621,0,0,180,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38787333,48.166145,0,0,181,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.38788167,48.16608,0,0,182,401,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
